Roll_No,Student_Name,DOB,Sex,Contact,Department_ID
23101128001,Sachin Das,5/12/2004,M,8347265910,101
23101128002,Aarav Dhanraj,8/20/2004,M,9124587036,101
23101128003,Kunal Pandit,11/15/2003,M,7894512638,101
23101128004,Raj Kishor Singh,9/10/2003,M,9685021473,101
23101128005,Chetan Kumar,1/18/2004,M,7458961230,101
23101128006,Md Bahrose,12/25/2002,M,8932147506,101
23101128007,William Kumar Das,7/5/2003,M,7019458236,101
23101128008,Raju Kumar,3/22/2004,M,8563209741,101
23101128009,Prashant Kumar,10/30/2003,M,9326087451,101
23101128010,Sunny Kumar,6/14/2004,M,7815942603,101
23101128016,Sakshi Kumari,3/15/2004,F,9123456701,101
23101128026,Rishika Kumari,7/22/2004,F,9123456702,101
23101128027,Salini Kumari,1/10/2004,F,9123456703,101
23101128036,Dipalee Singh,11/5/2003,F,9123456704,101
23101128038,Manika Kumari,5/18/2004,F,9123456705,101
23101128039,Usha Kumari,9/27/2003,F,9123456706,101
23101128045,Chandni Kumari,2/14/2004,F,9123456707,101
23101128046,Muskan Kumari,6/30/2004,F,9123456708,101
23101128050,Nikita Suman,12/9/2003,F,9123456709,101
23101128051,Viniti Kumari,8/21/2004,F,9123456710,101
23102128001,Aman Kumar Singh,2/14/2004,M,9123456781,102
23102128002,Pravi Ranjan,11/8/2003,M,9234567812,102
23102128003,Sanoj Kumar,6/19/2004,M,9345678123,102
23102128004,Anuj Prakash,9/27/2003,M,9456781234,102
23102128006,Alok Kumar,1/10/2004,M,9567812345,102
23102128007,Rahul Kumar Yadav,12/5/2003,M,9678123456,102
23102128010,Ankit Kumar,4/22/2004,M,9781234567,102
23102128012,Aniket Kumar Gandhi,8/16/2003,M,9892345678,102
23102128013,Manish Kumar,5/30/2004,M,9012345679,102
23102128014,Sanni Kumar,10/11/2003,M,9123987654,102
23105128001,Shrishty Priya,3/12/2004,F,9123456701,105
23105128008,Asha Kumari,7/25/2004,F,9123456702,105
23105128011,Ananya Kumari,1/18/2004,F,9123456703,105
23105128012,Malti Kumari,11/9/2003,F,9123456704,105
23105128013,Komal Kumari,5/30/2004,F,9123456705,105
23105128018,Kajal Kumari,8/14/2004,F,9123456706,105
23105128020,Deepshikha Singh,12/22/2003,F,9123456707,105
23105128022,Jyoti Kumari,2/27/2004,F,9123456708,105
23105128034,Neha Kumari,6/16/2004,F,9123456709,105
23105128035,Shweta Kumari,10/5/2003,F,9123456710,105
23110128001,Himanshu Bhaskar,9/18/2003,M,9128475601,110
23110128002,Raj Ranjan,12/11/2003,M,9236584712,110
23110128003,Priti Kumari,4/6/2004,F,9347695823,110
23110128004,Chandan Kumar Das,7/25/2003,M,9458706934,110
23110128005,Manish Kumar,1/14/2004,M,9569817045,110
23110128007,Sonam Priya,6/19/2004,F,9670928156,110
23110128008,Aditya Raj,10/3/2003,M,9781039267,110
23110128009,Sachin Tiwari,8/28/2003,M,9892140378,110
23110128010,Nitu Kumari,2/22/2004,F,9013251489,110
23110128011,Kalpana Chawla,11/30/2003,F,9124362590,110
23118128001,Yousuf,1/12/2004,M,9123400011,118
23118128002,Aman Kumar,11/25/2003,M,9123400022,118
23118128003,Utsav Kumar,3/8/2004,M,9123400033,118
23118128004,Akash Kumar,9/19/2003,M,9123400044,118
23118128005,Asad Faruq,2/14/2004,M,9123400055,118
23118128006,Sunny,12/1/2003,M,9123400066,118
23118128007,Aman Kumar,5/22/2004,M,9123400077,118
23118128008,Mithlesh Dixit,8/30/2003,M,9123400088,118
23118128009,Muftahul,4/10/2004,M,9123400099,118
23119128001,Gautam Kumar,9/15/2003,M,9125600011,119
23119128004,Gaurav Kumar,1/22/2004,M,9125600022,119
23119128005,Suprem Kumar,12/3/2003,M,9125600033,119
23119128007,Laxmi Kumari,5/18/2004,F,9125600044,119
23119128008,Anisha Kumari,3/27/2004,F,9125600055,119
23119128009,Rishi Ranjan Kumar,10/11/2003,M,9125600066,119
23119128010,Akshay Kumar,2/6/2004,M,9125600077,119
23119128011,Suprit Kumar,8/29/2003,M,9125600088,119
23119128012,Ram Krishan Tiwari,11/19/2003,M,9125600099,119
23119128013,Rajeev Kumar,4/9/2004,M,9125600100,119
23157128001,Simran Kumari,3/12/2004,F,9126700011,157
23157128002,Harshit Kumar,11/5/2003,M,9126700022,157
23157128003,Suraj Kumar,1/18/2004,M,9126700033,157
23157128006,Priya Kumari,5/9/2004,F,9126700044,157
23157128007,Shalini Shreya,9/27/2003,F,9126700055,157
23157128009,Aditya Kashyap,2/14/2004,M,9126700066,157
23157128010,Rajeev Kumar,12/3/2003,M,9126700077,157
23157128011,Navin Kumar,4/21/2004,M,9126700088,157
23157128012,Arman Shandilya,10/16/2003,M,9126700099,157
23157128013,Prince Kumar,6/8/2004,M,9126700100,157
23157128014,Kumar Nitesh,8/29/2003,M,9126700111,157
23157128015,Aditya Ashish Kumar,1/30/2004,M,9126700122,157
23157128016,Anubhav Kumar,11/19/2003,M,9126700133,157
