"Student_ID","Name","Date_of_Birth","Gender","Contact_No","Dept_ID"
"23101128001","Sachin Das","2004-05-12","M","8347265910",101
"23101128002","Aarav Dhanraj","2004-08-20","M","9124587036",101
"23101128003","Kunal Pandit","2003-11-15","M","7894512638",101
"23101128004","Raj Kishor Singh","2003-09-10","M","9685021473",101
"23101128005","Chetan Kumar","2004-01-18","M","7458961230",101
"23101128006","Md Bahrose","2002-12-25","M","8932147506",101
"23101128007","William Kumar Das","2003-07-05","M","7019458236",101
"23101128008","Raju Kumar","2004-03-22","M","8563209741",101
"23101128009","Prashant Kumar","2003-10-30","M","9326087451",101
"23101128010","Sunny Kumar","2004-06-14","M","7815942603",101
"23101128016","Sakshi Kumari","2004-03-15","F","9123456701",101
"23101128026","Rishika Kumari","2004-07-22","F","9123456702",101
"23101128027","Salini Kumari","2004-01-10","F","9123456703",101
"23101128036","Dipalee Singh","2003-11-05","F","9123456704",101
"23101128038","Manika Kumari","2004-05-18","F","9123456705",101
"23101128039","Usha Kumari","2003-09-27","F","9123456706",101
"23101128045","Chandni Kumari","2004-02-14","F","9123456707",101
"23101128046","Muskan Kumari","2004-06-30","F","9123456708",101
"23101128050","Nikita Suman","2003-12-09","F","9123456709",101
"23101128051","Viniti Kumari","2004-08-21","F","9123456710",101
